"accession","geo_accession","sample_median","sample_iqr","median_robust_z","iqr_robust_z","missing_values","non_finite_values","independent_failure_metrics","technical_outlier_candidate","automatic_exclusion"
"GSE44076","GSM1077745",3.7311463141928,3.40034172714609,1.40066848257373,0.412688981801588,0,0,0,FALSE,FALSE
"GSE44076","GSM1077746",3.74652225422856,3.47556436109084,1.68283953969798,1.17497482634085,0,0,0,FALSE,FALSE
"GSE44076","GSM1077747",3.58586783680673,3.44029131142664,-1.26540471009467,0.81752727308849,0,0,0,FALSE,FALSE
"GSE44076","GSM1077748",3.63132992918337,3.52419968079845,-0.431108619243768,1.66783201324787,0,0,0,FALSE,FALSE
"GSE44076","GSM1077749",3.61319265256848,3.35359659806701,-0.76395425364885,-0.0610135240732908,0,0,0,FALSE,FALSE
"GSE44076","GSM1077750",3.60109274242662,3.46558260611699,-0.986005356078743,1.07382241886444,0,0,0,FALSE,FALSE
"GSE44076","GSM1077751",3.70543922926682,3.33234440823243,0.928905760276788,-0.276377472752117,0,0,0,FALSE,FALSE
"GSE44076","GSM1077752",3.56611925923341,3.40262542694665,-1.62782008096651,0.435831378442793,0,0,0,FALSE,FALSE
"GSE44076","GSM1077753",3.61907391711592,3.35446089108936,-0.656024421019455,-0.0522550121478392,0,0,0,FALSE,FALSE
"GSE44076","GSM1077754",3.67260875607157,3.37804782183361,0.326418412781602,0.186768569978721,0,0,0,FALSE,FALSE
"GSE44076","GSM1077755",3.69590320689406,3.38339049593506,0.753905759794035,0.240909785540461,0,0,0,FALSE,FALSE
"GSE44076","GSM1077756",3.60195863811719,3.5062631709965,-0.970114899833394,1.48606827000398,0,0,0,FALSE,FALSE
"GSE44076","GSM1077757",3.57426214120958,3.35088066899635,-1.47838625058533,-0.0885360153337762,0,0,0,FALSE,FALSE
"GSE44076","GSM1077758",3.67785552035526,3.47216053155101,0.422704234719409,1.14048133762112,0,0,0,FALSE,FALSE
"GSE44076","GSM1077759",3.6695318734932,3.4612742015095,0.269953103488826,1.03016221085782,0,0,0,FALSE,FALSE
"GSE44076","GSM1077760",3.62667328707298,3.56321226148895,-0.516564833555341,2.06317496336522,0,0,0,FALSE,FALSE
"GSE44076","GSM1077761",3.58941934032713,3.44953264600862,-1.20022941021711,0.911176460401821,0,0,0,FALSE,FALSE
"GSE44076","GSM1077762",3.75692597262072,3.37816887346988,1.87376303510118,0.187995274548205,0,0,0,FALSE,FALSE
"GSE44076","GSM1077763",3.68594013781438,3.33938419990873,0.57106882573493,-0.205038126308978,0,0,0,FALSE,FALSE
"GSE44076","GSM1077764",3.67965891342883,3.46741410531024,0.455799143310212,1.09238233675205,0,0,0,FALSE,FALSE
