geo_accession,sample_median,robust_z,outlier_candidate,automatic_exclusion
GSM1077829,3.6458000000000004,-0.36006087408948273,False,False
GSM1077830,3.6673750000000003,0.04375008671523335,False,False
GSM1077831,3.72045,1.0371344086021537,False,False
GSM1077832,3.6284,-0.685729968782517,False,False
GSM1077833,3.7178500000000003,0.98847121054458,False,False
GSM1077834,3.7058,0.7629360041623328,False,False
GSM1077835,3.6498,-0.2851944155393694,False,False
GSM1077836,3.60965,-1.0366664932362166,False,False
GSM1077837,3.729025,1.1976293791189767,False,False
GSM1077838,3.6672000000000002,0.04047467915366486,False,False
GSM1077839,3.69585,0.5767056885189072,False,False
GSM1077840,3.7801,2.1535804717308404,False,False
GSM1077841,3.7254,1.1297816510579293,False,False
GSM1077842,3.5966750000000003,-1.2795145681581641,False,False
GSM1077843,3.6798,0.2763040235865466,False,False
