gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method
SYVN1,,0.1977406938775514,0.0278832027783069,7.091749661964696,6.065906862237225e-11,1.9332920431368728e-10,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
Schr2q13,,-0.1327276734693896,0.0576199744050719,-2.303501083431692,0.022877952204066,0.0313581606770871,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
Septin 1,,-0.3095636530612231,0.0536699029952651,-5.767918997143215,1.377911715299934e-07,3.338266835387549e-07,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
Septin 10,,-0.1530791836734666,0.0531143263935895,-2.8820695670526675,0.0045911024212107,0.0069250249623585,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
Septin 11,,-0.2874923877551021,0.0567352505369098,-5.067262152443836,1.2037213103345158e-06,2.6928508693184324e-06,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
Septin 12,,-0.3989585714285724,0.0375548212625638,-10.623364937334165,2.2056706210803362e-16,1.0049286581806558e-15,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
Septin 14,,0.0530722448979599,0.0184936141761486,2.869760577486662,0.0049349456912484,0.0074148805209415,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
Septin 2,,0.1499817959183707,0.0596203727006254,2.5156131893284392,0.013053636325891,0.0185050432317002,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
Septin 3,,-0.0027765102040815,0.0267764825975267,-0.1036921184090845,0.9175560365137884,0.928380642747504,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
Septin 4,,0.1516364081632639,0.0352169486867822,4.30577928576125,3.1500965893643056e-05,6.154097995228441e-05,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
Septin 5,,-0.1859284897959181,0.0345843956969433,-5.376080340543611,4.6282996135408443e-07,1.0740137067863214e-06,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
Septin 6,,0.0786775102040797,0.0509743954703443,1.5434711776003778,0.1253413560889434,0.1535219954926653,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
Septin 7,,0.429814306122446,0.067015680476617,6.4136378690120965,2.966869861002017e-09,8.288951159718035e-09,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
Septin 8,,-0.0031101224489811,0.0521031782383734,-0.0596916071943294,0.9524983756550583,0.9591986604153124,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
Septin 9,,0.450273408163266,0.0542081623674537,8.306376539958265,1.1207796282262877e-13,4.3241426791141886e-13,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
T,,-0.083699591836734,0.0349843071813182,-2.3924896212159363,0.0187423106330722,0.0260059462508158,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
T1560,,0.1854989387755101,0.0569371638132008,3.2579588857656137,0.0014087632837944,0.0022721603492966,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
TAAR1,,0.0170424081632658,0.0253783669198841,0.67153289323408,0.5031772615605337,0.5458660509436819,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
TAAR2,,-0.0712813061224495,0.039514202453513,-1.8039414108461176,0.0749407942110106,0.0952391350806061,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
TAAR5,,0.0158568571428578,0.0285263222430971,0.5558675600635812,0.5795291596657748,0.6185802892721355,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
TAAR6,,0.022548612244897,0.0235271788812106,0.958406970880169,0.3398767035773977,0.3839632562664912,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
TAAR8,,-0.1567272653061215,0.0324717596153237,-4.826571370408903,5.1748354827998775e-06,1.0900416815190804e-05,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
TAAR9,,-0.037440571428573,0.0311268959957512,-1.2028366539883562,0.2320322147530067,0.2711195685116446,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
TAB1,,0.040251469387754,0.0313722757755455,1.2830267614544475,0.2022715400858012,0.2387483803380853,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
TAB2,,-0.909268632653058,0.0677453936220104,-13.421851790047567,6.734097136239512e-24,5.0598740913180877e-23,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
TAB3,,0.012834653061224,0.0325176683636828,0.3946978275834291,0.693795323032558,0.7264153395952655,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
TAC1,,1.6393889387755096,0.2273027504155235,7.212358564859445,7.622143230983373e-11,2.407924458568498e-10,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
TAC3,,-0.0779366122448985,0.021434949437125,-3.635959696266569,0.0004104840515855,0.0007056989925226,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
TAC4,,-0.1492996734693883,0.02994152278217,-4.98637542771523,4.041760338360699e-06,8.602181627809938e-06,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
