gene_symbol,raw_log2fc,raw_fdr,deposited_log2fc,deposited_fdr,comparison,raw_significant,deposited_significant,sign_agreement,conclusion_changed_materially
PANK2,0.385303803028522,5.88167578886578e-07,-0.0394557551020406,0.1118903979003005,adjacent_vs_healthy,False,False,False,True
IGLV1-44,-0.824367187051616,7.80571489700062e-07,-0.0568492653061225,0.1598545267487804,adjacent_vs_healthy,True,False,True,True
PARG,-0.197821621705437,8.21408229796848e-07,0.0171041836734691,0.5967524040902024,adjacent_vs_healthy,False,False,False,True
SPCS2,-0.26815734053616,1.35445432264658e-06,0.053688897959184,0.2193335067050988,adjacent_vs_healthy,False,False,False,True
AHCYL1,0.172186027173849,1.52734566616492e-06,-0.2037327959183672,4.3805035164751006e-05,adjacent_vs_healthy,False,False,False,True
ADORA3,-0.432457861969795,3.08383790988716e-06,-0.5241653469387759,4.47242723137593e-07,adjacent_vs_healthy,False,True,True,True
FKBP1B,-0.501279100626219,3.89319889349637e-06,-0.4960437142857143,2.584403260735862e-06,adjacent_vs_healthy,True,False,True,True
XKR4,0.408314521176927,6.26395054023011e-06,0.5081944897959172,1.8476910836977963e-08,adjacent_vs_healthy,False,True,True,True
PEG3,0.463211652343541,9.42461176391016e-06,1.552652,2.6102443354757706e-22,adjacent_vs_healthy,False,True,True,True
QSOX1,0.459097854866577,1.09513542332378e-05,0.5360921224489799,4.993092585170328e-07,adjacent_vs_healthy,False,True,True,True
CADM1,0.419152469957343,2.37823434095184e-05,0.59902918367347,6.46958268395301e-08,adjacent_vs_healthy,False,True,True,True
STBD1,-0.206248336044082,4.53104972585911e-05,-0.6370838367346927,1.3098478359286458e-08,adjacent_vs_healthy,False,True,True,True
GSTO2,-0.302168408655064,5.2987572443876e-05,-0.5239572653061222,2.639652658073462e-07,adjacent_vs_healthy,False,True,True,True
HNRNPM,0.181811800199577,9.17789612754968e-05,-0.085449408163269,0.0209524357307951,adjacent_vs_healthy,False,False,False,True
CORO7,0.230243986619481,0.0001654541333997,-0.1240786938775508,0.0251098919542349,adjacent_vs_healthy,False,False,False,True
VGLL3,0.500863085580549,0.0002909742593372,0.4828191428571426,4.357001808757576e-06,adjacent_vs_healthy,True,False,True,True
SERINC2,-0.500421204542112,0.0005002220976721,-0.4998506530612232,6.552186661603592e-06,adjacent_vs_healthy,True,False,True,True
GOLGA8A,0.218425343650881,0.0007115805422144,0.5407714693877548,2.118970637727948e-06,adjacent_vs_healthy,False,True,True,True
SRCAP,0.128924562465035,0.0009061274708285,-0.1128796734693877,0.0641161909980628,adjacent_vs_healthy,False,False,False,True
ZNF395,-0.143270625019281,0.0036045682382415,0.0172633061224489,0.8087539356516196,adjacent_vs_healthy,False,False,False,True
ARID5A,-0.114805228411264,0.0067422939887975,0.1261881836734701,0.0005037908017851,adjacent_vs_healthy,False,False,False,True
APOC1,-0.112763528910528,0.0185536611379871,-0.7608877551020425,5.895108020856884e-06,adjacent_vs_healthy,False,True,True,True
CHCHD3,-0.0707544419266366,0.0188122085284171,0.0533802857142857,0.1135922660446491,adjacent_vs_healthy,False,False,False,True
PTMA,-0.0931927911269761,0.0212478771929097,0.214219102040813,4.812954950471336e-06,adjacent_vs_healthy,False,False,False,True
CHORDC1,-0.117216322526526,0.0325554499127071,0.1589464489795915,0.0121298044323817,adjacent_vs_healthy,False,False,False,True
GPRIN3,0.187238314025898,0.0337899541042034,-0.063453673469386,0.1639935611828128,adjacent_vs_healthy,False,False,False,True
ZNF839,-0.0786269224057481,0.0404549278204378,0.0223891020408157,0.4949601697083916,adjacent_vs_healthy,False,False,False,True
GRIPAP1,0.0789334078493531,0.0437769569412476,-0.0953629387755112,0.0396621317297992,adjacent_vs_healthy,False,False,False,True
