gene_symbol,log2_fold_change_reference,adjusted_p_value_reference,log2_fold_change_adjusted,adjusted_p_value_adjusted,reference_significant,adjusted_significant,sign_agreement,lost_significance,gained_significance,changed_direction,reference_model,adjusted_model,effect_difference,effect_direction_agreement,significance_retained
FUT2,-0.520877205985724,0.0007255435155201,-0.451136877675925,0.0074421577180418,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.06974032830979898,True,False
PLAC8,-0.503090376179961,0.0007300555182464,-0.438250062296603,0.00721138616222,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.06484031388335798,True,False
DPP6,0.530697528303765,0.0008039767690718,0.460401587554171,0.0079330027356959,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.07029594074959405,True,False
KCNMB1,0.558525034077952,0.0008279530370633,0.497450555864736,0.0066299648741256,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.06107447821321593,True,False
MORN5,0.562351095111621,0.0008890612925987,0.467938122607464,0.0114664055472701,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.09441297250415698,True,False
CCNA2,-0.514290414420157,0.0010127343799319,-0.463696288017421,0.0068745550579527,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.05059412640273597,True,False
CD52,-0.540745576182792,0.0012834413728614,-0.492201145046757,0.0075166345537591,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.04854443113603496,True,False
RPRM,0.549605524742751,0.0019966161805325,0.447722948601726,0.0216812496184405,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.10188257614102503,True,False
AKR1B10,-0.515493404980351,0.0021487467229203,-0.44850746465204,0.0151112455389902,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.06698594032831101,True,False
GUCA2B,-0.582704397032506,0.0024656146341975,-0.442513631311217,0.035765910657457,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.14019076572128897,True,False
HLA-DPA1,-0.508700896801036,0.0027733629140624,-0.436683717000657,0.0195792074270743,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.07201717980037903,True,False
NWD2,-0.508075810829725,0.0036214571741733,-0.407863995700464,0.0334483239922527,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.10021181512926097,True,False
ADGRG7,-0.534503880664618,0.0060490887532295,-0.419745231299439,0.0501887290222969,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.11475864936517893,True,False
ZNF726,-0.510571497657009,0.007698798600029,-0.367703380857413,0.0794230778659353,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.14286811679959605,True,False
