"gene_symbol","entrez_id","model","contrast","comparison","log2_fold_change","standard_error","moderated_statistic","p_value","adjusted_p_value","average_expression","confidence_interval_lower","confidence_interval_upper","direction","mapping_status","analysis_provenance"
"HCAR1",27198,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.01337541467156,0.0322385433058943,-0.408990067758193,0.683149519899899,0.802658360738967,2.2956159823027,-0.0780118038955343,0.0512609745524143,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"PEX5L",51555,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0154489611044187,0.03753406408861,-0.408418458099673,0.683568112010085,0.80309914798999,2.24761993448297,-0.0902102038722057,0.0593122816633683,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"PTPRA",5786,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0212257212267352,0.0520456385949655,-0.408336743985368,0.683627959625815,0.803118430235804,6.64648763555714,-0.123962652261991,0.0815112098085202,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"MYO16",23026,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0142259047148631,0.0344750556229575,-0.408052205798377,0.683836371755581,0.803312230861544,2.43259290074576,-0.0831302736188244,0.0546784641890982,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"EXD1",161829,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0139805236773637,0.0339059157569396,-0.407443431978761,0.684282354429171,0.803781874617429,2.59095388341086,-0.0817975451739019,0.0538364978191745,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"TBC1D12",23232,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0238270269708826,0.0586835507061872,-0.407387810003299,0.684323108178885,0.803781874617429,6.47752317678756,-0.139423456591742,0.0917694026499771,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"LINC00315",246704,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0182116695750249,0.0446082589070955,0.407320421875786,0.684372484132676,0.803788809732146,2.21874472600389,-0.0701565634062239,0.106579902556274,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"NGF",4803,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0224196600129566,0.0552238374401474,-0.406931346881678,0.684657589913658,0.804045543492809,2.55108084735413,-0.13131027992705,0.0864709599011367,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"SEMA3E",9723,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0410609474083803,0.101778908844919,0.406903432611882,0.68467804663571,0.804045543492809,2.91601757801371,-0.15838269908903,0.240504593905791,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"ARPIN",348110,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0283230490537971,0.0700300492279002,0.406740948214446,0.684797126506543,0.804097700310368,5.32780921436356,-0.109304286327964,0.165950384435558,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
