probe_id,gene_symbol,entrez_id,symbol_count,entrez_count,mapping_status,accession
11715280_s_at,KRT17,3872.0,2,2,ambiguous,GSE44076
11715281_at,ASIP,434.0,1,1,mapped_unique,GSE44076
11715282_s_at,CGB1,114335.0,6,6,ambiguous,GSE44076
11715282_s_at,CGB2,114336.0,6,6,ambiguous,GSE44076
11715282_s_at,CGB3,1082.0,6,6,ambiguous,GSE44076
11715282_s_at,CGB5,93659.0,6,6,ambiguous,GSE44076
11715282_s_at,CGB7,94027.0,6,6,ambiguous,GSE44076
11715282_s_at,CGB8,94115.0,6,6,ambiguous,GSE44076
11715283_at,CCKAR,886.0,1,1,mapped_unique,GSE44076
11715284_x_at,C15orf40,123207.0,1,1,mapped_unique,GSE44076
11715285_at,C15orf40,123207.0,1,1,mapped_unique,GSE44076
11715286_x_at,C15orf40,123207.0,1,1,mapped_unique,GSE44076
11715287_at,C15orf40,123207.0,1,1,mapped_unique,GSE44076
11715288_s_at,CASP14,23581.0,1,1,mapped_unique,GSE44076
11715289_s_at,AGRP,181.0,1,1,mapped_unique,GSE44076
11715290_s_at,CLDN3,1365.0,1,1,mapped_unique,GSE44076
11715291_s_at,TBX5,6910.0,1,1,mapped_unique,GSE44076
11715292_at,ST8SIA1,6489.0,1,1,mapped_unique,GSE44076
11715293_s_at,TRPT1,83707.0,1,1,mapped_unique,GSE44076
11715294_s_at,HECTD2,143279.0,1,1,mapped_unique,GSE44076
11715295_s_at,CCL27,10850.0,1,1,mapped_unique,GSE44076
11715296_s_at,KRT33A,3883.0,1,1,mapped_unique,GSE44076
11715297_at,FXN,2395.0,1,1,mapped_unique,GSE44076
11715298_x_at,SH2D2A,9047.0,1,1,mapped_unique,GSE44076
11715299_s_at,PRAMEF8,391002.0,1,1,mapped_unique,GSE44076
11715300_s_at,SSX3,10214.0,1,1,mapped_unique,GSE44076
11715301_s_at,NOP16,51491.0,1,1,mapped_unique,GSE44076
11715302_s_at,NT5C1A,84618.0,1,1,mapped_unique,GSE44076
11715303_s_at,CEMP1,752014.0,1,1,mapped_unique,GSE44076
11715304_s_at,PLCB3,5331.0,1,1,mapped_unique,GSE44076
11715305_s_at,HOXA10,3206.0,1,1,mapped_unique,GSE44076
11715306_s_at,AREG,374.0,1,1,mapped_unique,GSE44076
11715307_s_at,MLXIPL,51085.0,1,1,mapped_unique,GSE44076
11715308_s_at,MLXIPL,51085.0,1,1,mapped_unique,GSE44076
11715309_s_at,MLXIPL,51085.0,1,1,mapped_unique,GSE44076
11715310_s_at,MLXIPL,51085.0,1,1,mapped_unique,GSE44076
11715311_s_at,DEFB103A,414325.0,2,2,ambiguous,GSE44076
11715311_s_at,DEFB103B,55894.0,2,2,ambiguous,GSE44076
11715312_at,FOXC2,2303.0,1,1,mapped_unique,GSE44076
11715313_s_at,LHB,3972.0,1,1,mapped_unique,GSE44076
11715314_at,RABGEF1,27342.0,1,1,mapped_unique,GSE44076
11715315_s_at,RABGEF1,27342.0,1,1,mapped_unique,GSE44076
11715316_x_at,HLA-C,3107.0,1,1,mapped_unique,GSE44076
11715317_s_at,CGB1,114335.0,6,6,ambiguous,GSE44076
11715317_s_at,CGB2,114336.0,6,6,ambiguous,GSE44076
11715317_s_at,CGB3,1082.0,6,6,ambiguous,GSE44076
11715317_s_at,CGB5,93659.0,6,6,ambiguous,GSE44076
