"probe_id","gene_symbol","entrez_id","symbol_count","entrez_count","mapping_status"
"11715373_a_at","TRIM28","10155",1,1,"mapped_unique"
"11715374_a_at","CALR","811",1,1,"mapped_unique"
"11715375_x_at","CALR","811",1,1,"mapped_unique"
"11715376_a_at","RPS11","6205",2,2,"ambiguous"
"11715376_a_at","SNORD35B","84546",2,2,"ambiguous"
"11715377_x_at","COX4I1","1327",1,1,"mapped_unique"
"11715378_x_at","TG","7038",1,1,"mapped_unique"
"11715379_a_at","LAPTM4B","55353",1,1,"mapped_unique"
"11715380_s_at","LAPTM4B","55353",1,1,"mapped_unique"
"11715381_a_at","LAPTM4B","55353",1,1,"mapped_unique"
"11715382_x_at","PLD3","23646",1,1,"mapped_unique"
"11715383_a_at","PHB2","11331",1,1,"mapped_unique"
"11715384_x_at","PHB2","11331",1,1,"mapped_unique"
"11715385_s_at","C4orf46","201725",2,2,"ambiguous"
"11715385_s_at","TOMM7","54543",2,2,"ambiguous"
"11715386_at","REG1A","5967",1,1,"mapped_unique"
"11715387_at","CDKN1A","1026",1,1,"mapped_unique"
"11715388_s_at","CDKN1A","1026",1,1,"mapped_unique"
"11715389_x_at","FKBP1A","2280",1,1,"mapped_unique"
"11715390_s_at","FKBP1A","2280",1,1,"mapped_unique"
"11715391_s_at","MTCH1","23787",1,1,"mapped_unique"
"11715392_x_at","MTCH1","23787",1,1,"mapped_unique"
"11715393_a_at","C3","718",1,1,"mapped_unique"
"11715394_s_at","CD81","975",1,1,"mapped_unique"
"11715395_a_at","BLOC1S5-TXNDC5","100526836",2,2,"ambiguous"
"11715395_a_at","TXNDC5","81567",2,2,"ambiguous"
"11715396_s_at","BLOC1S5-TXNDC5","100526836",2,2,"ambiguous"
"11715396_s_at","TXNDC5","81567",2,2,"ambiguous"
"11715397_x_at","MAGED2","10916",1,1,"mapped_unique"
"11715398_a_at","APEX1","328",1,1,"mapped_unique"
"11715399_at","SLC25A5","292",1,1,"mapped_unique"
"11715400_x_at","SLC25A5","292",1,1,"mapped_unique"
"11715401_s_at","ILF2","3608",1,1,"mapped_unique"
"11715402_x_at","ILF2","3608",1,1,"mapped_unique"
"11715403_a_at","COL6A1","1291",1,1,"mapped_unique"
"11715404_a_at","COL6A1","1291",1,1,"mapped_unique"
"11715405_x_at","COL6A1","1291",1,1,"mapped_unique"
"11715406_a_at","COL6A1","1291",1,1,"mapped_unique"
"11715407_s_at","PSMB4","5692",1,1,"mapped_unique"
"11715408_x_at","PSMB4","5692",1,1,"mapped_unique"
"11715409_a_at","PRDX2","7001",1,1,"mapped_unique"
"11715410_x_at","PRDX2","7001",1,1,"mapped_unique"
"11715411_a_at","EPAS1","2034",1,1,"mapped_unique"
"11715412_a_at","EPAS1","2034",1,1,"mapped_unique"
"11715413_s_at","TSC22D1","8848",1,1,"mapped_unique"
"11715414_x_at","COL3A1","1281",1,1,"mapped_unique"
"11715415_a_at","COL3A1","1281",1,1,"mapped_unique"
"11715416_s_at","DDB1","1642",1,1,"mapped_unique"
"11715417_s_at","SKP1","6500",2,2,"ambiguous"
"11715417_s_at","SKP1P2","728622",2,2,"ambiguous"
"11715418_x_at","SKP1","6500",1,1,"mapped_unique"
"11715419_at","LY6E","4061",1,1,"mapped_unique"
"11715420_a_at","CCT2","10576",1,1,"mapped_unique"
"11715421_a_at","CCT2","10576",1,1,"mapped_unique"
"11715422_a_at","BCAP31","10134",1,1,"mapped_unique"
"11715423_s_at","BCAP31","10134",1,1,"mapped_unique"
"11715424_x_at","BCAP31","10134",1,1,"mapped_unique"
